Epoch,Accuracy
1,0.375
2,0.411
3,0.393
4,0.393
5,0.571
6,0.5
7,0.571
8,0.429
9,0.518
10,0.393
11,0.536
12,0.446
13,0.446
14,0.518
15,0.607
16,0.571
17,0.643
18,0.696
19,0.643
20,0.625
21,0.661
22,0.679
23,0.714
24,0.661
25,0.679
26,0.732
27,0.696
28,0.768
29,0.661
30,0.732
31,0.696
32,0.696
33,0.643
34,0.679
35,0.696
36,0.714
37,0.661
38,0.679
39,0.661
40,0.75
41,0.75
42,0.679
43,0.679
44,0.714
45,0.679
46,0.643
47,0.661
48,0.625
49,0.589
50,0.536
51,0.625
52,0.411
53,0.429
54,0.625
55,0.643
56,0.696
57,0.607
58,0.607
59,0.679
60,0.571
61,0.661
62,0.571
63,0.589
64,0.625
65,0.571
66,0.554
67,0.536
68,0.625
69,0.536
70,0.5
71,0.536
72,0.536
73,0.643
74,0.679
75,0.589
76,0.661
77,0.554
78,0.589
79,0.643
80,0.607
81,0.625
82,0.536
83,0.607
84,0.696
85,0.661
86,0.732
87,0.661
88,0.679
89,0.732
90,0.607
91,0.643
92,0.554
93,0.607
94,0.571
95,0.518
96,0.446
97,0.5
98,0.5
99,0.518
100,0.554
